"","month","concentration","year","contaminant"
"1","Jan",0.0459032258064516,2010,"OZONE"
"2","Feb",0.0484285714285714,2010,"OZONE"
"3","Mar",0.0551612903225806,2010,"OZONE"
"4","Apr",0.0595333333333333,2010,"OZONE"
"5","May",0.0611612903225806,2010,"OZONE"
"6","June",0.0714333333333333,2010,"OZONE"
"7","July",0.0725806451612903,2010,"OZONE"
"8","Aug",0.0694193548387097,2010,"OZONE"
"9","Sep",0.0693666666666667,2010,"OZONE"
"10","Oct",0.0543225806451613,2010,"OZONE"
"11","Nov",0.0481,2010,"OZONE"
"12","Dec",0.0451290322580645,2010,"OZONE"
"13","Jan1",0.047,2011,"OZONE"
"14","Feb1",0.0495357142857143,2011,"OZONE"
"15","Mar1",0.0535161290322581,2011,"OZONE"
"16","Apr1",0.0599666666666667,2011,"OZONE"
"17","May1",0.0635806451612903,2011,"OZONE"
"18","June1",0.0688333333333333,2011,"OZONE"
"19","July1",0.0704193548387097,2011,"OZONE"
"20","Aug1",0.073,2011,"OZONE"
"21","Sep1",0.0705,2011,"OZONE"
"22","Oct1",0.0595806451612903,2011,"OZONE"
"23","Nov1",0.0466666666666667,2011,"OZONE"
"24","Dec1",0.0440322580645161,2011,"OZONE"
"25","Jan2",0.043,2012,"OZONE"
"26","Feb2",0.0459655172413793,2012,"OZONE"
"27","Mar2",0.0529354838709677,2012,"OZONE"
"28","Apr2",0.0591666666666667,2012,"OZONE"
"29","May2",0.0710645161290323,2012,"OZONE"
"30","June2",0.0703333333333333,2012,"OZONE"
"31","July2",0.0703548387096774,2012,"OZONE"
"32","Aug2",0.0705483870967742,2012,"OZONE"
"33","Sep2",0.0673333333333333,2012,"OZONE"
"34","Oct2",0.0566774193548387,2012,"OZONE"
"35","Nov2",0.0477666666666667,2012,"OZONE"
"36","Dec2",0.0429354838709677,2012,"OZONE"
"37","Jan3",0.0439354838709677,2013,"OZONE"
"38","Feb3",0.0476785714285714,2013,"OZONE"
"39","Mar3",0.0535483870967742,2013,"OZONE"
"40","Apr3",0.0578666666666667,2013,"OZONE"
"41","May3",0.0646129032258065,2013,"OZONE"
"42","June3",0.0697666666666667,2013,"OZONE"
"43","July3",0.068258064516129,2013,"OZONE"
"44","Aug3",0.0659677419354839,2013,"OZONE"
"45","Sep3",0.0605,2013,"OZONE"
"46","Oct3",0.0588387096774194,2013,"OZONE"
"47","Nov3",0.0491,2013,"OZONE"
"48","Dec3",0.045741935483871,2013,"OZONE"
"49","Jan4",0.0508709677419355,2014,"OZONE"
"50","Feb4",0.0472142857142857,2014,"OZONE"
"51","Mar4",0.055741935483871,2014,"OZONE"
"52","Apr4",0.0648666666666667,2014,"OZONE"
"53","May4",0.0685161290322581,2014,"OZONE"
"54","June4",0.0749,2014,"OZONE"
"55","July4",0.0695483870967742,2014,"OZONE"
"56","Aug4",0.0703548387096774,2014,"OZONE"
"57","Sep4",0.0708666666666667,2014,"OZONE"
"58","Oct4",0.0629032258064516,2014,"OZONE"
"59","Nov4",0.0499333333333333,2014,"OZONE"
"60","Dec4",0.0409354838709677,2014,"OZONE"
"61","Jan5",0.043258064516129,2015,"OZONE"
"62","Feb5",0.0478571428571429,2015,"OZONE"
"63","Mar5",0.0545806451612903,2015,"OZONE"
"64","Apr5",0.0638,2015,"OZONE"
"65","May5",0.0623225806451613,2015,"OZONE"
"66","June5",0.0722,2015,"OZONE"
"67","July5",0.0604838709677419,2015,"OZONE"
"68","Aug5",0.064741935483871,2015,"OZONE"
"69","Sep5",0.0619,2015,"OZONE"
"70","Oct5",0.0559354838709677,2015,"OZONE"
"71","Nov5",0.0469333333333333,2015,"OZONE"
"72","Dec5",0.0417741935483871,2015,"OZONE"
"73","Jan6",0.0429354838709677,2016,"OZONE"
"74","Feb6",0.0527241379310345,2016,"OZONE"
"75","Mar6",0.0520645161290323,2016,"OZONE"
"76","Apr6",0.0562666666666667,2016,"OZONE"
"77","May6",0.0574193548387097,2016,"OZONE"
"78","June6",0.069,2016,"OZONE"
"79","July6",0.0748709677419355,2016,"OZONE"
"80","Aug6",0.0763870967741935,2016,"OZONE"
"81","Sep6",0.0641666666666667,2016,"OZONE"
"82","Oct6",0.0539677419354839,2016,"OZONE"
"83","Nov6",0.0488666666666667,2016,"OZONE"
